史奇正,13565245221,450200198612186055,男,32,广西壮族自治区,柳州市,柳州市
方成天,13066388860,141022198803298012,男,30,山西省,,
易星阑,15638884272,50023019810818423X,男,37,重庆市,县,丰都县
毛温文,13518860366,152525199308048394,男,25,内蒙古自治区,锡林郭勒盟,东乌珠穆沁旗
赵和惬,13734613858,150700198504249270,男,33,内蒙古自治区,,
龙景明,15748736435,620503197801054417,男,40,甘肃省,天水市,北道区
邱玉山,15788747230,431100198709203212,男,31,湖南省,永州市,永州市
任新知,13463148027,211404199204034658,男,26,辽宁省,葫芦岛市,南票区
赖宜年,15665877750,36112419750110781X,男,43,江西省,,
许嘉平,15302426237,360826199201184513,男,26,江西省,,
